noun,gender,lang
serviteur,Sustantivo_masculino,fr
terme,Sustantivo_masculino,fr
temps,Sustantivo_masculino_2,fr
telluromètre,Sustantivo_masculino,fr
telephérique,Sustantivo_masculino,fr
tentatif,Sustantivo_masculino,fr
temple,Sustantivo_masculino_2,fr
tchèque,Sustantivo_masculino,fr
taureau,Sustantivo_masculino,fr
tas,Sustantivo_masculino_3,fr
tatouage,Sustantivo_masculino,fr
tapis roulant,Sustantivo_masculino,fr
taratata,Sustantivo_masculino,fr
tanto,Sustantivo_masculino_2,fr
tambour,Sustantivo_masculino,fr
tableau,Sustantivo_masculino,fr
taffetas,Sustantivo_masculino,fr
sésame,Sustantivo_masculino,fr
sçavoir,Sustantivo_masculino,fr
sélénium,Sustantivo_masculino,fr
sédévacantisme,Sustantivo_masculino,fr
système,Sustantivo_masculino,fr
synœcisme,Sustantivo_masculino,fr
syndicat,Sustantivo_masculino,fr
synécisme,Sustantivo_masculino,fr
synonyme,Sustantivo_masculino,fr
symptôme,Sustantivo_masculino,fr
symbole,Sustantivo_masculino,fr
surtout,Sustantivo_masculino,fr
syndic,Sustantivo_masculino,fr
surplus,Sustantivo_masculino,fr
surmenage,Sustantivo_masculino,fr
supermarché,Sustantivo_masculino,fr
support,Sustantivo_masculino,fr
super-héros,Sustantivo_masculino,fr
sudoku,Sustantivo_masculino_3,fr
surgeon,Sustantivo_masculino,fr
superlatif,Sustantivo_masculino,fr
sud,Sustantivo_masculino_2,fr
sucre,Sustantivo_masculino_2,fr
succès,Sustantivo_masculino,fr
subpœna,Sustantivo_masculino,fr
succube,Sustantivo_femenino_y_masculino,fr
substantif,Sustantivo_masculino,fr
vieillissement,Sustantivo_masculino,fr
verrou,Sustantivo_masculino,fr
verre,Sustantivo_masculino,fr
vilain,Sustantivo_masculino,fr
vert,Sustantivo_masculino,fr
établissement,Sustantivo_masculino,fr
érable negundo,Sustantivo_masculino,fr
érable de Montpellier,Sustantivo_masculino,fr
verbe,Sustantivo_masculino,fr
ésophage,Sustantivo_masculino,fr
verdict,Sustantivo_masculino,fr
érable champêtre,Sustantivo_masculino,fr
subjonctif,Sustantivo_masculino,fr
équinoxe,Sustantivo_masculino,fr
époux,Sustantivo_masculino,fr
érable,Sustantivo_masculino,fr
équin,Sustantivo_masculino,fr
épicier,Sustantivo_masculino,fr
épinard,Sustantivo_masculino,fr
éon,Sustantivo_masculino,fr
émulateur,Sustantivo_masculino,fr
énigme,Sustantivo_femenino_y_masculino,fr
énoncé,Sustantivo_masculino,fr
émancipateur,Sustantivo_masculino,fr
éléphanteau,Sustantivo_masculino,fr
émail,Sustantivo_masculino,fr
élève,Sustantivo_femenino_y_masculino,fr
éléphant,Sustantivo_masculino,fr
élevage,Sustantivo_masculino,fr
élitisme,Sustantivo_masculino,fr
égoïste,Sustantivo_femenino_y_masculino,fr
édredon,Sustantivo_masculino,fr
écuyer,Sustantivo_masculino,fr
écusson,Sustantivo_masculino,fr
économiste,Sustantivo_femenino_y_masculino,fr
écureuil,Sustantivo_masculino,fr
écho,Sustantivo_masculino,fr
écoulement,Sustantivo_masculino,fr
écran,Sustantivo_masculino,fr
écu,Sustantivo_masculino,fr
écueil,Sustantivo_masculino,fr
écrivain,Sustantivo_masculino,fr
œnologiste,Sustantivo_masculino,fr
œstrogène,Sustantivo_masculino,fr
œstriol,Sustantivo_masculino,fr
œsophage,Sustantivo_masculino,fr
œsophagisme,Sustantivo_masculino,fr
œstradiol,Sustantivo_masculino,fr
œstrus,Sustantivo_masculino,fr
œuf,Sustantivo_masculino,fr
œcuménisme,Sustantivo_masculino,fr
œcuméniste,Sustantivo_femenino_y_masculino,fr
œkoumène,Sustantivo_masculino,fr
œdème,Sustantivo_masculino,fr
œiller,Sustantivo_masculino,fr
œillet,Sustantivo_masculino,fr
œnolisme,Sustantivo_masculino,fr
œil,Sustantivo_masculino,fr
œconomiste,Sustantivo_femenino_y_masculino,fr
être,Sustantivo_masculino,fr
évêque,Sustantivo_masculino,fr
évangile,Sustantivo_masculino,fr
été,Sustantivo_masculino,fr
étui,Sustantivo_masculino,fr
éternuement,Sustantivo_masculino,fr
événement,Sustantivo_masculino,fr
étain,Sustantivo_masculino,fr
échauffement,Sustantivo_masculino,fr
écart,Sustantivo_masculino,fr
ébattement,Sustantivo_masculino,fr
échantillon,Sustantivo_masculino,fr
ébauché,Sustantivo_masculino,fr
ébat,Sustantivo_masculino,fr
ébarboir,Sustantivo_masculino,fr
ébahissement,Sustantivo_masculino,fr
Æthiopien,Sustantivo_masculino,fr
æsthésiomètre,Sustantivo_masculino,fr
æsculine,Sustantivo_masculino,fr
æquinoxe,Sustantivo_masculino,fr
æquateur,Sustantivo_masculino,fr
æquilibre,Sustantivo_masculino,fr
æon,Sustantivo_masculino,fr
æther,Sustantivo_masculino,fr
æmulateur,Sustantivo_masculino,fr
âne,Sustantivo_masculino,fr
ænigme,Sustantivo_femenino_y_masculino,fr
Ægyptien,Sustantivo_masculino,fr
âge du fer,Sustantivo_masculino,fr
ædile,Sustantivo_masculino,fr
zéro,Sustantivo_masculino,fr
zébrule,Sustantivo_masculino,fr
zèle,Sustantivo_masculino,fr
zoo,Sustantivo_masculino_2,fr
zloty,Sustantivo_masculino,fr
yucca,Sustantivo_masculino,fr
youpin,Sustantivo_masculino,fr
zeste,Sustantivo_masculino,fr
zodiaque,Sustantivo_masculino,fr
yatagan,Sustantivo_masculino,fr
xylophone,Sustantivo_masculino,fr
whig,Sustantivo_masculino,fr
yen,Sustantivo_masculino_3,fr
yaourt,Sustantivo_masculino,fr
yack,Sustantivo_masculino,fr
weekend,Sustantivo_masculino,fr
warrant,Sustantivo_masculino_2,fr
wallon,Sustantivo_masculino,fr
véhicule,Sustantivo_masculino,fr
vœu,Sustantivo_masculino,fr
végétal,Sustantivo_masculino,fr
wagon,Sustantivo_masculino,fr
vélo,Sustantivo_masculino,fr
voyageur,Sustantivo_masculino,fr
voltage,Sustantivo_masculino,fr
vulgaire,Sustantivo_masculino,fr
vol-au-vent,Sustantivo_masculino,fr
vomisseur,Sustantivo_masculino,fr
volcan,Sustantivo_masculino,fr
voyou,Sustantivo_masculino,fr
voleur,Sustantivo_masculino,fr
visir,Sustantivo_masculino_2,fr
virelangue,Sustantivo_masculino,fr
violon,Sustantivo_masculino,fr
vingt-sept,Sustantivo_masculino,fr
vingt-neuf,Sustantivo_masculino,fr
vingt-six,Sustantivo_masculino,fr
vingt,Sustantivo_masculino,fr
vingt-huit,Sustantivo_masculino,fr
village,Sustantivo_masculino,fr
vin,Sustantivo_masculino,fr
ventre,Sustantivo_masculino_2,fr
vecteur,Sustantivo_masculino,fr
veau,Sustantivo_masculino,fr
verbatim,Sustantivo_masculino,fr
vent,Sustantivo_masculino_2,fr
vautour,Sustantivo_masculino,fr
vandalisme,Sustantivo_masculino_2,fr
vagin,Sustantivo_masculino,fr
vainqueur,Sustantivo_masculino,fr
vaccin,Sustantivo_masculino,fr
urèthre,Sustantivo_masculino,fr
ut,Sustantivo_masculino,fr
uræus,Sustantivo_masculino,fr
tête-bêche,Sustantivo_masculino_2,fr
unbiunium,Sustantivo_masculino,fr
téléphoneur,Sustantivo_masculino,fr
témoignage,Sustantivo_masculino,fr
télégramme,Sustantivo_masculino,fr
ultraorthodoxe,Sustantivo_femenino_y_masculino,fr
un,Sustantivo_masculino,fr
uræi,Sustantivo_masculino,fr
tænioïde,Sustantivo_masculino,fr
tænifuge,Sustantivo_masculino,fr
tæniadé,Sustantivo_masculino,fr
tutu,Sustantivo_masculino,fr
tunnel,Sustantivo_masculino,fr
tænicide,Sustantivo_masculino,fr
tæniasis,Sustantivo_masculino,fr
tuyau,Sustantivo_masculino,fr
tube digestif,Sustantivo_masculino,fr
trésorier,Sustantivo_masculino,fr
trousse,Sustantivo_femenino,fr
trésor,Sustantivo_masculino,fr
trône,Sustantivo_masculino,fr
tsunami,Sustantivo_masculino_3,fr
trésorière,Sustantivo_masculino,fr
tulle,Sustantivo_masculino,fr
tropique,Sustantivo_masculino,fr
troupeau,Sustantivo_masculino,fr
trimaran,Sustantivo_masculino,fr
trombone,Sustantivo_masculino,fr
trottoir,Sustantivo_masculino,fr
trilobite,Sustantivo_masculino_3,fr
trompe-l’œil,Sustantivo_masculino_3,fr
tribalisme,Sustantivo_masculino,fr
triangle,Sustantivo_masculino,fr
tres,Sustantivo_masculino_2,fr
travail,Sustantivo_masculino,fr
troll,Sustantivo_masculino_3,fr
tremplin,Sustantivo_masculino,fr
traumatologue,Sustantivo_masculino,fr
trafic,Sustantivo_masculino,fr
traducteur,Sustantivo_masculino,fr
trac,Sustantivo_masculino,fr
tourbillon,Sustantivo_masculino,fr
tourisme,Sustantivo_masculino,fr
tournevis,Sustantivo_masculino,fr
toucher,Sustantivo_masculino,fr
total,Sustantivo_masculino_3,fr
tonnerre,Sustantivo_masculino,fr
ton,Sustantivo_masculino_5,fr
tort,Sustantivo_masculino,fr
tomber,Sustantivo_masculino,fr
toast,Sustantivo_masculino,fr
tiroir,Sustantivo_masculino,fr
timbre,Sustantivo_masculino_2,fr
